Insect,Scientific name,Stage,Plant,Botanical Name,Role,Relationship,Sun,Growth,Native,Source,,Confidence,Source Type
Monarch,Danaus plexippus,Host,Low Milkweed,Asclepias ovalifolia,Leaves,Specific,Full,Herbaceous,Yes,"https://blog.cwf-fcf.org/index.php/en/monarch-on-the-prairies/#:~:text=This%20allowed%20the%20Monarch%20to,travelling%20to%20Mexico%20each%20year.&text=iNaturalist%20Canada%20observations%20also%20show,Milkweed%20can%20definitely%20grow%20here!",,High,Conservation
Monarch,Danaus plexippus,Host,Showy Milkweed,Asclepias speciosa,Leaves,Specific,Full,Herbaceous,Yes,"https://blog.cwf-fcf.org/index.php/en/monarch-on-the-prairies/#:~:text=iNaturalist%20Canada%20observations%20also%20show,Milkweed%20can%20definitely%20grow%20here!",,High,Conservation
Monarch,Danaus plexippus,Host,Short Green Milkweed,Asclepias viridflora,Leaves,Specific,Full,Herbaceous,Yes,"https://blog.cwf-fcf.org/index.php/en/monarch-on-the-prairies/#:~:text=iNaturalist%20Canada%20observations%20also%20show,Milkweed%20can%20definitely%20grow%20here!",,High,Conservation
Monarch,Danaus plexippus,Butterfly,Blazing star,Liatris ligulistylis,Nectar,General,Full,Herbaceous,Yes,https://www.enps.ca/plant-index/meadow-blazing-star,,High,Conservation
Monarch,Danaus plexippus,Butterfly,Coneflower,Echinacea purpurea,Nectar,General,Full,Herbaceous,No,https://www.birdsandblooms.com/gardening/attracting-butterflies/attract-birds-and-butterflies-with-coneflowers/,,Medium,Horticultural
Monarch,Danaus plexippus,Butterfly,Goldenrod,Solidago,Nectar,General,Full,Herbaceous,Yes,https://www.mun.ca/botanicalgarden/learn/educational-resources/butterflies-moths-and-skippers/,,High,Educational
Monarch,Danaus plexippus,Butterfly,Lilac,Syringa vlugaris,Nectar,General,Full,Shrub,No,https://www.mun.ca/botanicalgarden/learn/educational-resources/butterflies-moths-and-skippers/,,High,Educational
Painted Lady,Vanessa cardui,Host,Hooker's Thistle,Cirsium hookerianum,Leaves,Specific,Full,Herbaceous,Yes,https://www.butterfliesandmoths.org/species/Vanessa-cardui,,High,Observational
Painted Lady,Vanessa cardui,Host,Sunflower,Helianthus spp.,Leaves,Specific,Full,Herbaceous,No,https://www.butterfliesandmoths.org/species/Vanessa-cardui,,High,Observational
Painted Lady,Vanessa cardui,Host,Hollyhock,Alcea,Leaves,Specific,Full,Herbaceous,No,https://www.butterfliesandmoths.org/species/Vanessa-cardui,,High,Observational
